Scenario,Strategy,ReserveSize,Iteration,AvDensity,LogRatCorals,WVTraitSp1,WVTraitSp2,Ext1,Ext2,ExtBoth,V,D
1,1,0,1,2.00E-06,-0.002779307,-3.92798938,-2.91012701,1,321,321,0,0
1,1,0.1,1,2.00E-06,-0.002779307,-3.92798938,-2.91012701,1,321,321,0,0
1,1,0.2,1,2.00E-06,-0.002779307,-3.92798938,-2.91012701,1,321,321,0,0
1,1,0.3,1,2.00E-06,-0.002779307,-3.92798938,-2.91012701,1,321,321,0,0
1,1,0.5,1,2.00E-06,-0.002779307,-3.92798938,-2.91012701,1,321,321,0,0
1,2,0,1,2.00E-06,-5.220707868,-3.92798938,-2.91012701,1,321,321,0,0
1,2,0.1,1,0.000186063,-5.220707868,-0.920014002,-0.898244773,1,NA,NA,0,0
1,2,0.2,1,0.000186065,-5.220707868,-0.920020339,-0.898251398,1,NA,NA,0,0
1,2,0.3,1,0.000186065,-5.220707868,-0.920021839,-0.898252949,1,NA,NA,0,0
1,2,0.5,1,0.000186065,-5.220707868,-0.920021839,-0.898252949,1,NA,NA,0,0
1,3,0,1,2.00E-06,-5.220707868,-3.92798938,-2.91012701,1,321,321,0,0
1,3,0.1,1,0.000186061,-5.220707868,-0.92001179,-0.898242355,1,NA,NA,0,0
1,3,0.2,1,0.000186063,-5.220707868,-0.920014002,-0.898244773,1,NA,NA,0,0
1,3,0.3,1,0.000186064,-5.220707868,-0.920017154,-0.89824809,1,NA,NA,0,0
1,3,0.5,1,0.000186065,-5.220707868,-0.920021839,-0.898252949,1,NA,NA,0,0
1,4,0,1,2.00E-06,-5.22070073,-3.92798938,-2.91012701,1,321,321,0,0
1,4,0.1,1,1.30E-05,-5.22070073,-1.435406927,-1.143323811,1,434,434,0,0
1,4,0.2,1,0.000185789,-5.22070073,-0.919773544,-0.897970753,1,NA,NA,0,0
1,4,0.3,1,0.000186063,-5.22070073,-0.920018901,-0.8982498,1,NA,NA,0,0
1,4,0.5,1,0.000186064,-5.22070073,-0.920020262,-0.898251208,1,NA,NA,0,0
1,5,0,1,2.00E-06,-0.004095649,-3.92798938,-2.91012701,1,321,321,0,0
1,5,0.1,1,2.00E-06,-0.004095649,-3.92798938,-2.91012701,1,321,321,0,0
1,5,0.2,1,2.00E-06,-0.004095649,-3.92798938,-2.91012701,1,321,321,0,0
1,5,0.3,1,2.00E-06,-0.004095649,-3.92798938,-2.91012701,1,321,321,0,0
1,5,0.5,1,2.00E-06,-0.004095649,-3.926153312,-2.907801352,1,321,321,0,0
1,6,0,1,2.00E-06,-5.159278029,-3.92798938,-2.91012701,1,321,321,0,0
1,6,0.1,1,0.000174764,-5.159278029,-0.915809214,-0.892600225,1,NA,NA,0,0
1,6,0.2,1,0.000174764,-5.159278029,-0.915809668,-0.892600717,1,NA,NA,0,0
1,6,0.3,1,0.000174764,-5.159278029,-0.915809804,-0.892600913,1,NA,NA,0,0
1,6,0.5,1,0.000175039,-5.159278029,-0.916076853,-0.892906108,1,NA,NA,0,0
1,7,0,1,2.00E-06,-0.24483459,-3.92798938,-2.91012701,1,321,321,0,0
1,7,0.1,1,2.00E-06,-0.24483459,-3.92798938,-2.91012701,1,321,321,0,0
1,7,0.2,1,2.00E-06,-0.24483459,-3.92798938,-2.91012701,1,321,321,0,0
1,7,0.3,1,2.00E-06,-0.24483459,-3.926959661,-2.908834337,1,321,321,0,0
1,7,0.5,1,2.28E-06,-0.24483459,-3.585179064,-2.517780521,1,385,385,0,0
1,8,0,1,2.00E-06,-0.003529332,-3.92798938,-2.91012701,1,321,321,0,0
1,8,0.1,1,2.00E-06,-0.003529332,-3.92798938,-2.91012701,1,321,321,0,0
1,8,0.2,1,2.00E-06,-0.003529332,-3.92798938,-2.91012701,1,321,321,0,0
1,8,0.3,1,2.00E-06,-0.003529332,-3.92798938,-2.91012701,1,321,321,0,0
1,8,0.5,1,2.00E-06,-0.003529332,-3.926959661,-2.908834337,1,321,321,0,0
1,9,0,1,2.00E-06,-5.159277466,-3.92798938,-2.91012701,1,321,321,0,0
1,9,0.1,1,2.00E-06,-5.159277466,-3.925920893,-2.907539942,1,321,321,0,0
1,9,0.2,1,2.00E-06,-5.159277466,-3.926981163,-2.908927696,1,332,332,0,0
1,9,0.3,1,0.000185789,-5.159277466,-0.919772362,-0.897969587,1,NA,NA,0,0
1,9,0.5,1,0.000175039,-5.159277466,-0.916076036,-0.892905272,1,NA,NA,0,0
2,1,0,1,0.001248847,1.394858542,0.447998012,0.252065406,270,NA,NA,0.1,0
2,1,0.1,1,0.089675185,1.394858542,1.104633342,0.252049666,NA,NA,NA,0.1,0
2,1,0.2,1,0.177787918,1.394858542,1.12615044,0.251828886,NA,NA,NA,0.1,0
2,1,0.3,1,0.258074627,1.394858542,1.014272306,0.223297057,NA,NA,NA,0.1,0
2,1,0.5,1,0.424773968,1.394858542,0.962558092,0.224403385,NA,NA,NA,0.1,0
2,2,0,1,0.001248847,-0.841345739,0.447998012,0.252065406,270,NA,NA,0.1,0
2,2,0.1,1,0.077402582,-0.841345739,0.594288166,0.271682077,NA,NA,NA,0.1,0
2,2,0.2,1,0.148244251,-0.841345739,0.431470119,0.2609666,NA,NA,NA,0.1,0
2,2,0.3,1,0.220908975,-0.841345739,0.413135316,0.253439288,NA,NA,NA,0.1,0
2,2,0.5,1,0.375079135,-0.841345739,0.504751491,0.242523574,NA,NA,NA,0.1,0
2,3,0,1,0.001248847,0.330694212,0.447998012,0.252065406,270,NA,NA,0.1,0
2,3,0.1,1,0.080785697,0.330694212,0.742258356,0.275840677,NA,NA,NA,0.1,0
2,3,0.2,1,0.165828867,0.330694212,0.871368499,0.271681512,NA,NA,NA,0.1,0
2,3,0.3,1,0.245152409,0.330694212,0.831216687,0.26108933,NA,NA,NA,0.1,0
2,3,0.5,1,0.401198524,0.330694212,0.765403855,0.255385823,NA,NA,NA,0.1,0
2,4,0,1,0.001248847,-1.145025772,0.447998012,0.252065406,270,NA,NA,0.1,0
2,4,0.1,1,0.083317765,-1.145025772,0.885593069,0.240125579,NA,NA,NA,0.1,0
2,4,0.2,1,0.153501872,-1.145025772,0.585951263,0.232759973,NA,NA,NA,0.1,0
2,4,0.3,1,0.225299988,-1.145025772,0.482611274,0.2366709,NA,NA,NA,0.1,0
2,4,0.5,1,0.373926517,-1.145025772,0.461929591,0.239182896,NA,NA,NA,0.1,0
2,5,0,1,0.001248847,1.754818149,0.447998012,0.252065406,270,NA,NA,0.1,0
2,5,0.1,1,0.089373913,1.754818149,1.117501847,0.252062151,NA,NA,NA,0.1,0
2,5,0.2,1,0.177104599,1.754818149,1.11450115,0.252149274,NA,NA,NA,0.1,0
2,5,0.3,1,0.265614584,1.754818149,1.123701665,0.252104185,NA,NA,NA,0.1,0
2,5,0.5,1,0.425926688,1.754818149,0.998914307,0.233267897,NA,NA,NA,0.1,0
2,6,0,1,0.001248847,0.432830638,0.447998012,0.252065406,270,NA,NA,0.1,0
2,6,0.1,1,0.083106947,0.432830638,0.871050305,0.26853151,NA,NA,NA,0.1,0
2,6,0.2,1,0.159809572,0.432830638,0.748353302,0.242070706,NA,NA,NA,0.1,0
2,6,0.3,1,0.242097062,0.432830638,0.76638631,0.236164568,NA,NA,NA,0.1,0
2,6,0.5,1,0.403304149,0.432830638,0.787322559,0.243050294,NA,NA,NA,0.1,0
2,7,0,1,0.001248847,0.292044196,0.447998012,0.252065406,270,NA,NA,0.1,0
2,7,0.1,1,0.089129588,0.292044196,1.108469966,0.25185256,NA,NA,NA,0.1,0
2,7,0.2,1,0.17098769,0.292044196,0.98333185,0.244798262,NA,NA,NA,0.1,0
2,7,0.3,1,0.246744968,0.292044196,0.851945257,0.232749824,NA,NA,NA,0.1,0
2,7,0.5,1,0.40015562,0.292044196,0.744175291,0.23821688,NA,NA,NA,0.1,0
2,8,0,1,0.001248847,0.997929595,0.447998012,0.252065406,270,NA,NA,0.1,0
2,8,0.1,1,0.089133107,0.997929595,1.105893063,0.251895503,NA,NA,NA,0.1,0
2,8,0.2,1,0.177104599,0.997929595,1.11450115,0.252149274,NA,NA,NA,0.1,0
2,8,0.3,1,0.265021932,0.997929595,1.113905427,0.238457157,NA,NA,NA,0.1,0
2,8,0.5,1,0.41437487,0.997929595,0.885253022,0.231517911,NA,NA,NA,0.1,0
2,9,0,1,0.001248847,0.350790133,0.447998012,0.252065406,270,NA,NA,0.1,0
2,9,0.1,1,0.077595215,0.350790133,0.615200434,0.258593187,NA,NA,NA,0.1,0
2,9,0.2,1,0.154637735,0.350790133,0.590743781,0.247460799,NA,NA,NA,0.1,0
2,9,0.3,1,0.244910094,0.350790133,0.827283734,0.24117873,NA,NA,NA,0.1,0
2,9,0.5,1,0.401464073,0.350790133,0.763901698,0.240021647,NA,NA,NA,0.1,0
3,1,0,1,0.140751013,-0.845266326,1.021420446,1.021392745,1,NA,NA,0.4,0
3,1,0.1,1,0.210742642,-0.845266326,1.061106454,1.022086583,1,NA,NA,0.4,0
3,1,0.2,1,0.279120165,-0.845266326,1.09962435,1.021474081,1,NA,NA,0.4,0
3,1,0.3,1,0.333674094,-0.845266326,1.093330158,1.019176129,1,NA,NA,0.4,0
3,1,0.5,1,0.472220377,-0.845266326,1.095688349,1.022354886,1,NA,NA,0.4,0
3,2,0,1,0.140751013,-1.69984273,1.021420446,1.021392745,1,NA,NA,0.4,0
3,2,0.1,1,0.202945732,-1.69984273,1.038123381,1.011365931,1,NA,NA,0.4,0
3,2,0.2,1,0.261392421,-1.69984273,1.025002845,1.003381277,1,NA,NA,0.4,0
3,2,0.3,1,0.312609702,-1.69984273,1.023211625,1.005301246,1,NA,NA,0.4,0
3,2,0.5,1,0.44369341,-1.69984273,1.055496546,1.02090114,1,NA,NA,0.4,0
3,3,0,1,0.140751013,-1.286537849,1.021420446,1.021392745,1,NA,NA,0.4,0
3,3,0.1,1,0.198917422,-1.286537849,1.016704868,1.015958143,1,NA,NA,0.4,0
3,3,0.2,1,0.272937595,-1.286537849,1.064483764,1.013889793,1,NA,NA,0.4,0
3,3,0.3,1,0.338289343,-1.286537849,1.077328752,1.008356209,1,NA,NA,0.4,0
3,3,0.5,1,0.454541327,-1.286537849,1.069349206,1.006878249,1,NA,NA,0.4,0
3,4,0,1,0.140751013,-9.862075354,1.021420446,1.021392745,1,NA,NA,0.4,0
3,4,0.1,1,0.185939713,-9.862075354,1.027835204,1.027815826,1,NA,NA,0.4,0
3,4,0.2,1,0.232905165,-9.862075354,1.024984174,1.024968871,1,NA,NA,0.4,0
